,raceId,driverId,lap,position,time,milliseconds
2633,991,832,8,8,1:40.465,100465
2632,991,832,9,8,1:40.459,100459
2655,991,832,10,8,1:40.584,100584
2720,991,832,11,8,1:40.933,100933
2914,991,832,12,9,1:45.595,105595
2971,991,832,13,16,1:58.775,118775
2502,991,832,14,16,1:39.737,99737
2742,991,832,15,15,1:41.142,101142
2615,991,832,16,14,1:40.331,100331
2536,991,832,17,13,1:39.913,99913
2577,991,832,18,13,1:40.104,100104
2552,991,832,19,13,1:39.973,99973
2473,991,832,20,12,1:39.619,99619
2570,991,832,21,12,1:40.067,100067
2487,991,832,22,11,1:39.660,99660
2453,991,832,23,10,1:39.551,99551
2516,991,832,24,10,1:39.813,99813
2421,991,832,25,9,1:39.388,99388
2359,991,832,26,9,1:39.200,99200
2471,991,832,27,9,1:39.606,99606
2501,991,832,28,9,1:39.734,99734
2493,991,832,29,9,1:39.690,99690
2535,991,832,30,8,1:39.907,99907
2983,991,832,31,9,2:08.065,128065
3029,991,832,32,12,2:30.978,150978
2946,991,832,33,11,1:51.981,111981
2996,991,832,34,11,2:15.594,135594
3009,991,832,35,11,2:22.335,142335
2730,991,832,36,10,1:41.017,101017
2212,991,832,37,10,1:38.593,98593
2203,991,832,38,10,1:38.559,98559
2130,991,832,39,10,1:38.161,98161
2162,991,832,40,10,1:38.363,98363
2198,991,832,41,10,1:38.541,98541
2340,991,832,42,10,1:39.120,99120
2204,991,832,43,10,1:38.562,98562
2232,991,832,44,10,1:38.686,98686
2278,991,832,45,10,1:38.857,98857
2137,991,832,46,10,1:38.188,98188
2147,991,832,47,10,1:38.233,98233
2102,991,832,48,9,1:37.892,97892
2123,991,832,49,9,1:38.101,98101
2100,991,832,50,9,1:37.889,97889
2081,991,832,51,9,1:37.810,97810
2075,991,832,52,9,1:37.770,97770
2097,991,832,53,9,1:37.865,97865
2070,991,832,54,9,1:37.754,97754
2188,991,832,55,9,1:38.495,98495
2286,991,832,56,9,1:38.880,98880
2942,991,838,1,16,1:51.030,111030
2884,991,838,2,16,1:42.970,102970
2851,991,838,3,16,1:42.165,102165
2881,991,838,4,16,1:42.778,102778
2674,991,838,5,15,1:40.677,100677
2781,991,838,6,15,1:41.397,101397
2721,991,838,7,15,1:40.933,100933
2691,991,838,8,15,1:40.786,100786
2793,991,838,9,15,1:41.479,101479
2773,991,838,10,15,1:41.343,101343
2755,991,838,11,15,1:41.234,101234
2759,991,838,12,13,1:41.263,101263
2703,991,838,13,12,1:40.857,100857
2740,991,838,14,11,1:41.133,101133
2738,991,838,15,11,1:41.101,101101
2715,991,838,16,11,1:40.919,100919
2698,991,838,17,10,1:40.836,100836
2624,991,838,18,10,1:40.402,100402
2606,991,838,19,10,1:40.264,100264
2663,991,838,20,10,1:40.643,100643
2782,991,838,21,11,1:41.406,101406
2909,991,838,22,12,1:45.395,105395
2968,991,838,23,17,1:58.347,118347
2284,991,838,24,16,1:38.873,98873
2460,991,838,25,16,1:39.569,99569
2495,991,838,26,15,1:39.695,99695
2484,991,838,27,15,1:39.641,99641
2443,991,838,28,15,1:39.484,99484
2423,991,838,29,14,1:39.397,99397
2510,991,838,30,14,1:39.763,99763
2984,991,838,31,14,2:08.950,128950
2989,991,838,32,13,2:13.659,133659
2940,991,838,33,12,1:50.933,110933
2992,991,838,34,12,2:14.437,134437
3007,991,838,35,12,2:21.609,141609
2885,991,838,36,14,1:43.065,103065
2627,991,838,37,14,1:40.412,100412
2461,991,838,38,14,1:39.572,99572
2411,991,838,39,14,1:39.364,99364
2422,991,838,40,14,1:39.393,99393
2321,991,838,41,14,1:39.016,99016
2285,991,838,42,14,1:38.876,98876
2265,991,838,43,14,1:38.795,98795
2214,991,838,44,14,1:38.610,98610
2288,991,838,45,14,1:38.902,98902
2403,991,838,46,13,1:39.344,99344
2276,991,838,47,13,1:38.834,98834
2282,991,838,48,13,1:38.870,98870
2210,991,838,49,13,1:38.583,98583
2154,991,838,50,13,1:38.279,98279
2187,991,838,51,13,1:38.493,98493
2170,991,838,52,13,1:38.390,98390
2171,991,838,53,13,1:38.390,98390
2127,991,838,54,13,1:38.137,98137
2166,991,838,55,13,1:38.379,98379
2230,991,838,56,13,1:38.681,98681
2935,991,839,1,13,1:49.720,109720
2863,991,839,2,13,1:42.285,102285
2803,991,839,3,13,1:41.553,101553
2771,991,839,4,13,1:41.328,101328
2798,991,839,5,13,1:41.533,101533
2654,991,839,6,12,1:40.567,100567
2640,991,839,7,12,1:40.486,100486
2699,991,839,8,12,1:40.841,100841
2716,991,839,9,12,1:40.925,100925
2648,991,839,10,12,1:40.538,100538
2903,991,839,11,12,1:44.877,104877
2963,991,839,12,19,1:57.232,117232
2497,991,839,13,18,1:39.711,99711
2573,991,839,14,17,1:40.075,100075
2601,991,839,15,17,1:40.248,100248
2685,991,839,16,17,1:40.725,100725
2672,991,839,17,15,1:40.666,100666
2614,991,839,18,15,1:40.330,100330
2731,991,839,19,15,1:41.031,101031
2488,991,839,20,14,1:39.662,99662
2485,991,839,21,14,1:39.645,99645
2482,991,839,22,14,1:39.638,99638
2513,991,839,23,13,1:39.791,99791
2662,991,839,24,12,1:40.639,100639
2626,991,839,25,11,1:40.410,100410
2416,991,839,26,11,1:39.375,99375
2399,991,839,27,11,1:39.334,99334
2451,991,839,28,11,1:39.524,99524
2468,991,839,29,11,1:39.594,99594
2496,991,839,30,10,1:39.707,99707
2982,991,839,31,11,2:08.026,128026
3028,991,839,32,14,2:29.617,149617
2941,991,839,33,13,1:50.953,110953
2991,991,839,34,13,2:14.172,134172
3006,991,839,35,13,2:20.680,140680
2760,991,839,36,12,1:41.266,101266
2608,991,839,37,12,1:40.271,100271
2419,991,839,38,12,1:39.379,99379
2431,991,839,39,12,1:39.427,99427
2252,991,839,40,12,1:38.748,98748
2263,991,839,41,12,1:38.783,98783
2249,991,839,42,12,1:38.740,98740
2226,991,839,43,12,1:38.658,98658
2213,991,839,44,12,1:38.598,98598
2275,991,839,45,11,1:38.821,98821
2115,991,839,46,11,1:38.035,98035
2110,991,839,47,11,1:37.985,97985
2112,991,839,48,11,1:38.015,98015
2149,991,839,49,11,1:38.240,98240
2119,991,839,50,11,1:38.078,98078
2152,991,839,51,11,1:38.259,98259
2434,991,839,52,12,1:39.440,99440
2295,991,839,53,12,1:38.934,98934
2131,991,839,54,12,1:38.170,98170
2167,991,839,55,12,1:38.382,98382
2256,991,839,56,11,1:38.763,98763
2932,991,840,1,12,1:48.995,108995
2868,991,840,2,12,1:42.471,102471
2752,991,840,3,12,1:41.216,101216
2818,991,840,4,12,1:41.681,101681
2812,991,840,5,12,1:41.624,101624
2848,991,840,6,13,1:42.148,102148
2804,991,840,7,13,1:41.559,101559
2756,991,840,8,13,1:41.240,101240
2797,991,840,9,13,1:41.525,101525
2701,991,840,10,13,1:40.852,100852
2794,991,840,11,13,1:41.495,101495
2747,991,840,12,12,1:41.182,101182
2687,991,840,13,11,1:40.749,100749
2694,991,840,14,10,1:40.804,100804
2764,991,840,15,10,1:41.288,101288
2743,991,840,16,10,1:41.168,101168
2769,991,840,17,9,1:41.317,101317
2718,991,840,18,9,1:40.927,100927
2652,991,840,19,9,1:40.547,100547
2673,991,840,20,9,1:40.672,100672
2661,991,840,21,9,1:40.633,100633
2733,991,840,22,10,1:41.080,101080
2913,991,840,23,11,1:45.569,105569
2965,991,840,24,17,1:58.041,118041
2645,991,840,25,17,1:40.520,100520
2539,991,840,26,17,1:39.925,99925
2610,991,840,27,16,1:40.282,100282
2425,991,840,28,16,1:39.406,99406
2444,991,840,29,15,1:39.485,99485
2572,991,840,30,15,1:40.071,100071
2985,991,840,31,15,2:10.652,130652
2990,991,840,32,15,2:14.004,134004
2933,991,840,33,14,1:49.171,109171
2988,991,840,34,14,2:13.431,133431
3005,991,840,35,14,2:20.312,140312
2882,991,840,36,15,1:42.839,102839
2734,991,840,37,15,1:41.083,101083
2580,991,840,38,15,1:40.133,100133
2356,991,840,39,15,1:39.193,99193
2408,991,840,40,15,1:39.358,99358
2293,991,840,41,15,1:38.925,98925
2466,991,840,42,15,1:39.591,99591
2299,991,840,43,15,1:38.951,98951
2350,991,840,44,15,1:39.171,99171
2394,991,840,45,15,1:39.322,99322
2386,991,840,46,14,1:39.287,99287
2325,991,840,47,14,1:39.030,99030
2200,991,840,48,14,1:38.546,98546
2303,991,840,49,14,1:38.968,98968
2227,991,840,50,14,1:38.665,98665
2272,991,840,51,14,1:38.812,98812
2207,991,840,52,14,1:38.576,98576
2279,991,840,53,14,1:38.857,98857
2189,991,840,54,14,1:38.500,98500
2251,991,840,55,14,1:38.745,98745
2382,991,840,56,14,1:39.276,99276
2947,991,842,1,19,1:52.141,112141
2896,991,842,2,19,1:43.991,103991
2872,991,842,3,19,1:42.555,102555
2860,991,842,4,18,1:42.258,102258
2799,991,842,5,18,1:41.533,101533
2822,991,842,6,18,1:41.731,101731
2832,991,842,7,18,1:41.907,101907
2806,991,842,8,18,1:41.580,101580
2831,991,842,9,18,1:41.904,101904
2811,991,842,10,18,1:41.613,101613
2796,991,842,11,18,1:41.506,101506
2800,991,842,12,17,1:41.541,101541
2746,991,842,13,15,1:41.178,101178
2849,991,842,14,15,1:42.156,102156
2865,991,842,15,16,1:42.420,102420
2843,991,842,16,16,1:42.046,102046
2830,991,842,17,16,1:41.866,101866
2821,991,842,18,17,1:41.695,101695
2850,991,842,19,18,1:42.164,102164
2923,991,842,20,19,1:46.866,106866
2967,991,842,21,20,1:58.295,118295
2192,991,842,22,19,1:38.521,98521
2242,991,842,23,19,1:38.704,98704
2240,991,842,24,19,1:38.699,98699
2290,991,842,25,19,1:38.915,98915
2300,991,842,26,19,1:38.957,98957
2319,991,842,27,19,1:39.014,99014
2440,991,842,28,19,1:39.460,99460
2890,991,842,29,17,1:43.579,103579
2688,991,842,30,16,1:40.749,100749
3001,991,842,31,16,2:17.386,137386
3047,991,842,32,17,2:42.839,162839
2735,991,842,33,17,1:41.092,101092
2441,991,842,34,16,1:39.478,99478
2998,991,842,35,16,2:16.392,136392
2867,991,842,36,16,1:42.461,102461
2814,991,842,37,16,1:41.631,101631
2596,991,842,38,16,1:40.225,100225
2335,991,842,39,16,1:39.098,99098
2385,991,842,40,16,1:39.285,99285
2337,991,842,41,16,1:39.102,99102
2370,991,842,42,16,1:39.228,99228
2344,991,842,43,16,1:39.157,99157
2409,991,842,44,16,1:39.360,99360
2308,991,842,45,16,1:38.989,98989
2358,991,842,46,16,1:39.199,99199
2364,991,842,47,15,1:39.215,99215
2197,991,842,48,15,1:38.538,98538
2273,991,842,49,15,1:38.818,98818
2250,991,842,50,15,1:38.741,98741
2429,991,842,51,15,1:39.423,99423
2179,991,842,52,15,1:38.447,98447
2320,991,842,53,15,1:39.015,99015
2164,991,842,54,15,1:38.367,98367
2257,991,842,55,15,1:38.764,98764
2292,991,842,56,15,1:38.916,98916
2943,991,843,1,17,1:51.539,111539
2895,991,843,2,18,1:43.976,103976
2874,991,843,3,18,1:42.609,102609
2888,991,843,4,19,1:43.317,103317
2858,991,843,5,19,1:42.216,102216
2862,991,843,6,19,1:42.276,102276
2853,991,843,7,19,1:42.186,102186
2825,991,843,8,19,1:41.762,101762
2813,991,843,9,19,1:41.626,101626
2922,991,843,10,20,1:46.763,106763
2969,991,843,11,20,1:58.627,118627
2534,991,843,12,20,1:39.895,99895
2656,991,843,13,20,1:40.590,100590
2653,991,843,14,20,1:40.554,100554
2647,991,843,15,20,1:40.537,100537
2679,991,843,16,20,1:40.693,100693
2676,991,843,17,20,1:40.681,100681
2697,991,843,18,20,1:40.829,100829
2702,991,843,19,20,1:40.856,100856
2595,991,843,20,20,1:40.225,100225
2630,991,843,21,19,1:40.444,100444
2588,991,843,22,18,1:40.176,100176
2621,991,843,23,18,1:40.394,100394
2530,991,843,24,18,1:39.887,99887
2568,991,843,25,18,1:40.059,100059
2579,991,843,26,18,1:40.120,100120
2562,991,843,27,18,1:40.036,100036
2681,991,843,28,18,1:40.712,100712
2952,991,843,29,19,1:54.719,114719
2954,991,843,30,19,1:55.826,115826
3039,991,843,31,20,2:37.585,157585
3040,991,843,32,20,2:38.153,158153
2927,991,843,33,20,1:47.696,107696
2659,991,843,34,20,1:40.613,100613
2646,991,843,35,20,1:40.530,100530
2581,991,843,36,20,1:40.136,100136
2625,991,843,37,20,1:40.408,100408
2607,991,843,38,20,1:40.270,100270
2585,991,843,39,20,1:40.165,100165
2586,991,843,40,20,1:40.170,100170
2527,991,843,41,20,1:39.881,99881
2546,991,843,42,20,1:39.958,99958
2514,991,843,43,20,1:39.806,99806
2564,991,843,44,20,1:40.045,100045
2587,991,843,45,20,1:40.170,100170
2522,991,843,46,20,1:39.854,99854
2550,991,843,47,19,1:39.971,99971
2531,991,843,48,20,1:39.888,99888
2692,991,843,49,20,1:40.786,100786
2417,991,843,50,20,1:39.376,99376
2915,991,843,51,20,1:45.667,105667
2944,991,844,1,18,1:51.646,111646
2887,991,844,2,17,1:43.172,103172
2871,991,844,3,17,1:42.543,102543
2856,991,844,4,17,1:42.212,102212
2845,991,844,5,17,1:42.101,102101
2839,991,844,6,17,1:42.016,102016
2820,991,844,7,17,1:41.687,101687
2827,991,844,8,17,1:41.776,101776
2810,991,844,9,17,1:41.613,101613
2801,991,844,10,17,1:41.550,101550
2829,991,844,11,17,1:41.858,101858
2763,991,844,12,16,1:41.283,101283
2770,991,844,13,14,1:41.317,101317
2837,991,844,14,14,1:42.003,102003
2807,991,844,15,14,1:41.583,101583
2841,991,844,16,15,1:42.030,102030
2795,991,844,17,14,1:41.498,101498
2761,991,844,18,14,1:41.280,101280
2784,991,844,19,14,1:41.410,101410
2866,991,844,20,16,1:42.431,102431
2925,991,844,21,18,1:47.280,107280
2970,991,844,22,20,1:58.719,118719
2270,991,844,23,20,1:38.808,98808
2396,991,844,24,20,1:39.325,99325
2490,991,844,25,20,1:39.681,99681
2507,991,844,26,20,1:39.751,99751
2517,991,844,27,20,1:39.813,99813
2931,991,844,28,20,1:48.884,108884
2710,991,844,29,20,1:40.903,100903
2924,991,844,30,18,1:47.180,107180
3045,991,844,31,18,2:39.950,159950
3038,991,844,32,18,2:37.501,157501
2939,991,844,33,18,1:50.825,110825
2690,991,844,34,18,1:40.772,100772
2629,991,844,35,18,1:40.429,100429
2619,991,844,36,18,1:40.384,100384
2628,991,844,37,18,1:40.416,100416
2669,991,844,38,18,1:40.655,100655
2556,991,844,39,18,1:40.009,100009
2707,991,844,40,19,1:40.887,100887
2565,991,844,41,19,1:40.046,100046
2519,991,844,42,19,1:39.843,99843
2526,991,844,43,19,1:39.866,99866
2578,991,844,44,19,1:40.111,100111
2506,991,844,45,19,1:39.749,99749
2540,991,844,46,19,1:39.926,99926
2559,991,844,47,18,1:40.026,100026
2480,991,844,48,18,1:39.628,99628
2693,991,844,49,19,1:40.799,100799
2555,991,844,50,19,1:39.982,99982
2521,991,844,51,19,1:39.852,99852
2560,991,844,52,19,1:40.028,100028
2524,991,844,53,19,1:39.859,99859
2529,991,844,54,19,1:39.885,99885
2538,991,844,55,19,1:39.924,99924
2603,991,844,56,19,1:40.250,100250
2938,991,845,1,15,1:50.776,110776
2880,991,845,2,15,1:42.776,102776
2847,991,845,3,15,1:42.127,102127
2883,991,845,4,15,1:42.946,102946
2869,991,845,5,16,1:42.487,102487
2789,991,845,6,16,1:41.443,101443
2758,991,845,7,16,1:41.254,101254
2786,991,845,8,16,1:41.413,101413
2776,991,845,9,16,1:41.377,101377
2724,991,845,10,16,1:40.955,100955
2777,991,845,11,16,1:41.381,101381
2754,991,845,12,14,1:41.229,101229
2723,991,845,13,13,1:40.946,100946
2741,991,845,14,12,1:41.139,101139
2772,991,845,15,12,1:41.328,101328
2766,991,845,16,12,1:41.300,101300
2861,991,845,17,12,1:42.265,102265
2706,991,845,18,12,1:40.881,100881
2700,991,845,19,12,1:40.845,100845
2778,991,845,20,13,1:41.392,101392
2729,991,845,21,13,1:41.009,101009
2670,991,845,22,13,1:40.657,100657
2686,991,845,23,12,1:40.736,100736
2725,991,845,24,11,1:40.961,100961
2876,991,845,25,13,1:42.635,102635
2823,991,845,26,14,1:41.733,101733
2719,991,845,27,14,1:40.930,100930
2911,991,845,28,14,1:45.487,105487
2973,991,845,29,18,2:00.603,120603
2377,991,845,30,17,1:39.257,99257
2997,991,845,31,17,2:15.653,135653
2993,991,845,32,16,2:14.718,134718
2930,991,845,33,16,1:48.838,108838
2974,991,845,34,17,2:01.832,121832
2986,991,845,35,17,2:12.363,132363
2864,991,845,36,17,1:42.418,102418
2779,991,845,37,17,1:41.396,101396
2638,991,845,38,17,1:40.482,100482
2503,991,845,39,17,1:39.737,99737
2479,991,845,40,17,1:39.628,99628
2388,991,845,41,17,1:39.293,99293
2313,991,845,42,17,1:39.005,99005
2395,991,845,43,17,1:39.325,99325
2361,991,845,44,17,1:39.209,99209
2339,991,845,45,17,1:39.117,99117
2327,991,845,46,17,1:39.040,99040
2216,991,845,47,16,1:38.624,98624
2229,991,845,48,16,1:38.673,98673
2338,991,845,49,16,1:39.108,99108
2222,991,845,50,16,1:38.641,98641
2262,991,845,51,16,1:38.778,98778
2217,991,845,52,16,1:38.632,98632
2310,991,845,53,16,1:38.996,98996
2244,991,845,54,16,1:38.716,98716
2348,991,845,55,16,1:39.162,99162
2304,991,845,56,16,1:38.969,98969
3724,992,1,1,2,2:29.923,149923
3880,992,1,2,2,3:08.609,188609
3740,992,1,3,2,2:33.366,153366
3758,992,1,4,2,2:34.668,154668
3870,992,1,5,2,3:01.941,181941
3633,992,1,6,2,1:53.461,113461
3485,992,1,7,2,1:49.862,109862
3330,992,1,8,2,1:48.376,108376
3271,992,1,9,2,1:47.814,107814
3181,992,1,10,2,1:47.192,107192
3164,992,1,11,2,1:47.053,107053
3294,992,1,12,2,1:47.989,107989
3157,992,1,13,2,1:47.014,107014
3209,992,1,14,2,1:47.424,107424
3268,992,1,15,2,1:47.810,107810
3165,992,1,16,2,1:47.053,107053
3158,992,1,17,2,1:47.017,107017
3120,992,1,18,2,1:46.597,106597
3095,992,1,19,2,1:46.331,106331
3080,992,1,20,2,1:46.120,106120
3092,992,1,21,2,1:46.315,106315
3648,992,1,22,3,1:55.171,115171
3687,992,1,23,3,2:04.215,124215
3196,992,1,24,3,1:47.306,107306
3119,992,1,25,3,1:46.582,106582
3113,992,1,26,3,1:46.507,106507
3094,992,1,27,3,1:46.329,106329
3100,992,1,28,3,1:46.381,106381
3079,992,1,29,3,1:46.115,106115
3070,992,1,30,3,1:45.922,105922
3150,992,1,31,3,1:46.950,106950
3074,992,1,32,3,1:45.972,105972
3097,992,1,33,3,1:46.348,106348
3059,992,1,34,3,1:45.645,105645
3050,992,1,35,3,1:45.412,105412
3155,992,1,36,3,1:47.001,107001
3071,992,1,37,3,1:45.943,105943
3055,992,1,38,3,1:45.550,105550
3056,992,1,39,3,1:45.578,105578
3691,992,1,40,3,2:05.747,125747
3851,992,1,41,3,2:51.254,171254
3844,992,1,42,3,2:49.585,169585
3861,992,1,43,3,2:56.943,176943
3836,992,1,44,3,2:48.383,168383
3820,992,1,45,3,2:46.255,166255
3801,992,1,46,3,2:41.364,161364
3816,992,1,47,3,2:45.509,165509
3265,992,1,48,2,1:47.795,107795
3252,992,1,49,1,1:47.735,107735
3076,992,1,50,1,1:46.017,106017
3136,992,1,51,1,1:46.842,106842
3887,992,4,1,16,3:18.104,198104
3858,992,4,2,17,2:55.936,175936
3714,992,4,3,17,2:19.843,139843
3753,992,4,4,17,2:34.204,154204
3810,992,4,5,17,2:44.075,164075
3679,992,4,6,17,2:01.811,121811
3643,992,4,7,16,1:54.558,114558
3576,992,4,8,15,1:51.421,111421
3538,992,4,9,15,1:50.847,110847
3477,992,4,10,14,1:49.771,109771
3553,992,4,11,12,1:51.050,111050
3531,992,4,12,12,1:50.550,110550
3523,992,4,13,12,1:50.445,110445
3429,992,4,14,12,1:49.276,109276
3512,992,4,15,12,1:50.264,110264
3481,992,4,16,11,1:49.809,109809
3391,992,4,17,11,1:48.993,108993
3415,992,4,18,11,1:49.166,109166
3369,992,4,19,11,1:48.740,108740
3437,992,4,20,11,1:49.364,109364
3417,992,4,21,11,1:49.202,109202
3337,992,4,22,11,1:48.422,108422
3450,992,4,23,12,1:49.509,109509
3476,992,4,24,11,1:49.753,109753
3420,992,4,25,10,1:49.211,109211
3470,992,4,26,11,1:49.679,109679
3352,992,4,27,11,1:48.577,108577
3635,992,4,28,12,1:53.833,113833
3316,992,4,29,12,1:48.217,108217
3275,992,4,30,12,1:47.837,107837
3258,992,4,31,12,1:47.762,107762
3216,992,4,32,12,1:47.449,107449
3361,992,4,33,12,1:48.682,108682
3298,992,4,34,12,1:48.018,108018
3247,992,4,35,12,1:47.683,107683
3269,992,4,36,12,1:47.812,107812
3319,992,4,37,12,1:48.233,108233
3286,992,4,38,12,1:47.922,107922
3259,992,4,39,12,1:47.763,107763
3725,992,4,40,10,2:30.376,150376
3793,992,4,41,10,2:40.249,160249
3655,992,4,42,10,1:56.890,116890
3742,992,4,43,9,2:33.437,153437
3840,992,4,44,9,2:48.819,168819
3830,992,4,45,9,2:47.342,167342
3788,992,4,46,9,2:39.750,159750
3773,992,4,47,9,2:37.278,157278
3590,992,4,48,8,1:51.743,111743
3425,992,4,49,7,1:49.240,109240
3297,992,4,50,8,1:48.006,108006
3323,992,4,51,7,1:48.301,108301
3759,992,8,1,6,2:34.726,154726
3885,992,8,2,13,3:14.676,194676
3768,992,8,3,12,2:36.720,156720
3745,992,8,4,12,2:33.804,153804
3847,992,8,5,12,2:50.829,170829
3667,992,8,6,11,2:00.197,120197
3616,992,8,7,11,1:52.728,112728
3507,992,8,8,11,1:50.211,110211
3517,992,8,9,10,1:50.313,110313
3373,992,8,10,10,1:48.803,108803
3472,992,8,11,9,1:49.699,109699
3483,992,8,12,9,1:49.824,109824
3492,992,8,13,9,1:49.943,109943
3324,992,8,14,9,1:48.328,108328
3325,992,8,15,7,1:48.332,108332
3320,992,8,16,7,1:48.256,108256
3261,992,8,17,6,1:47.774,107774
3364,992,8,18,6,1:48.719,108719
3304,992,8,19,6,1:48.065,108065
3318,992,8,20,6,1:48.226,108226
3213,992,8,21,6,1:47.443,107443
3192,992,8,22,6,1:47.262,107262
3307,992,8,23,6,1:48.088,108088
3279,992,8,24,6,1:47.850,107850
3264,992,8,25,6,1:47.790,107790
3236,992,8,26,6,1:47.604,107604
3326,992,8,27,6,1:48.332,108332
3260,992,8,28,6,1:47.770,107770
3214,992,8,29,6,1:47.443,107443
3140,992,8,30,6,1:46.865,106865
3224,992,8,31,6,1:47.508,107508
3193,992,8,32,6,1:47.267,107267
3345,992,8,33,6,1:48.517,108517
3207,992,8,34,6,1:47.421,107421
3201,992,8,35,6,1:47.329,107329
3188,992,8,36,6,1:47.237,107237
3163,992,8,37,6,1:47.049,107049
3138,992,8,38,6,1:46.859,106859
3218,992,8,39,6,1:47.473,107473
3709,992,8,40,4,2:17.585,137585
3779,992,8,41,4,2:38.331,158331
3711,992,8,42,4,2:18.482,138482
3862,992,8,43,4,2:57.418,177418
3841,992,8,44,4,2:48.838,168838
3819,992,8,45,4,2:46.243,166243
3802,992,8,46,4,2:41.371,161371
3811,992,8,47,4,2:44.440,164440
3464,992,8,48,3,1:49.615,109615
3291,992,8,49,2,1:47.950,107950
3116,992,8,50,2,1:46.523,106523
3126,992,8,51,2,1:46.675,106675
3721,992,20,1,1,2:28.071,148071
3884,992,20,2,1,3:09.319,189319
3739,992,20,3,1,2:33.349,153349
3754,992,20,4,1,2:34.295,154295
3871,992,20,5,1,3:03.029,183029
3573,992,20,6,1,1:51.316,111316
3460,992,20,7,1,1:49.587,109587
3341,992,20,8,1,1:48.465,108465
3277,992,20,9,1,1:47.845,107845
3223,992,20,10,1,1:47.506,107506
3189,992,20,11,1,1:47.240,107240
3134,992,20,12,1,1:46.825,106825
3139,992,20,13,1,1:46.864,106864
3210,992,20,14,1,1:47.430,107430
3129,992,20,15,1,1:46.722,106722
3194,992,20,16,1,1:47.271,107271
3146,992,20,17,1,1:46.911,106911
3141,992,20,18,1,1:46.873,106873
3106,992,20,19,1,1:46.475,106475
3093,992,20,20,1,1:46.329,106329
3114,992,20,21,1,1:46.508,106508
3086,992,20,22,1,1:46.198,106198
3118,992,20,23,1,1:46.554,106554
3177,992,20,24,1,1:47.159,107159
3127,992,20,25,1,1:46.702,106702
3225,992,20,26,1,1:47.521,107521
3123,992,20,27,1,1:46.621,106621
3131,992,20,28,1,1:46.746,106746
3112,992,20,29,1,1:46.507,106507
3529,992,20,30,1,1:50.536,110536
3682,992,20,31,2,2:02.645,122645
3091,992,20,32,2,1:46.298,106298
3089,992,20,33,2,1:46.280,106280
3102,992,20,34,2,1:46.422,106422
3063,992,20,35,2,1:45.839,105839
3073,992,20,36,2,1:45.958,105958
3066,992,20,37,2,1:45.866,105866
3053,992,20,38,2,1:45.530,105530
3101,992,20,39,2,1:46.396,106396
3672,992,20,40,2,2:01.148,121148
3867,992,20,41,2,2:59.843,179843
3845,992,20,42,2,2:50.725,170725
3863,992,20,43,2,2:57.837,177837
3834,992,20,44,2,2:48.279,168279
3823,992,20,45,2,2:46.515,166515
3797,992,20,46,2,2:40.625,160625
3827,992,20,47,2,2:46.808,166808
3595,992,20,48,4,1:51.976,111976
3370,992,20,49,4,1:48.757,108757
3096,992,20,50,4,1:46.344,106344
3132,992,20,51,4,1:46.755,106755
3814,992,154,1,14,2:45.430,165430
3872,992,154,2,15,3:05.940,185940
3778,992,154,3,14,2:38.286,158286
3747,992,154,4,14,2:33.847,153847
3833,992,154,5,14,2:48.090,168090
3670,992,154,6,13,2:00.579,120579
3624,992,154,7,12,1:53.070,113070
3567,992,154,8,12,1:51.149,111149
3461,992,154,9,11,1:49.602,109602
3524,992,154,10,11,1:50.506,110506
3513,992,154,11,10,1:50.276,110276
3473,992,154,12,10,1:49.710,109710
3457,992,154,13,11,1:49.555,109555
3530,992,154,14,11,1:50.546,110546
3491,992,154,15,11,1:49.921,109921
3375,992,154,16,10,1:48.814,108814
3388,992,154,17,10,1:48.984,108984
3395,992,154,18,10,1:49.027,109027
3381,992,154,19,10,1:48.867,108867
3290,992,154,20,10,1:47.945,107945
3274,992,154,21,10,1:47.829,107829
3231,992,154,22,10,1:47.547,107547
3359,992,154,23,9,1:48.667,108667
3257,992,154,24,9,1:47.750,107750
3204,992,154,25,8,1:47.380,107380
3295,992,154,26,8,1:48.000,108000
3376,992,154,27,8,1:48.821,108821
3303,992,154,28,8,1:48.064,108064
3308,992,154,29,8,1:48.109,108109
3300,992,154,30,8,1:48.036,108036
3172,992,154,31,8,1:47.100,107100
3220,992,154,32,8,1:47.492,107492
3245,992,154,33,8,1:47.675,107675
3142,992,154,34,8,1:46.880,106880
3199,992,154,35,8,1:47.314,107314
3336,992,154,36,8,1:48.407,108407
3347,992,154,37,8,1:48.525,108525
3183,992,154,38,8,1:47.200,107200
3202,992,154,39,8,1:47.329,107329
3715,992,154,40,6,2:20.263,140263
3803,992,154,41,6,2:41.523,161523
3688,992,154,42,6,2:04.606,124606
3776,992,807,1,10,2:37.771,157771
3876,992,807,2,8,3:07.393,187393
3765,992,807,3,8,2:36.503,156503
3728,992,807,4,8,2:32.034,152034
3859,992,807,5,7,2:56.437,176437
3660,992,807,6,8,1:57.744,117744
3618,992,807,7,7,1:52.856,112856
3452,992,807,8,7,1:49.523,109523
3490,992,807,9,5,1:49.917,109917
3380,992,807,10,5,1:48.867,108867
3769,992,815,1,9,2:36.904,156904
3881,992,815,2,9,3:08.639,188639
3817,992,815,3,15,2:45.806,165806
3743,992,815,4,15,2:33.439,153439
3829,992,815,5,15,2:47.221,167221
3677,992,815,6,15,2:01.780,121780
